Unique ID,Car Type,Year,Makes,Models,Nickname,Year Makes Models,Special Access,Reward,Shop Series,DLC Date/Pack,FE Boost,Rarity,Car Value,Class,PI,S,H,A,L,B,HP,T,Wt,Wt / HP,%,Displ,Aspiration,Engine,Cylinders,Eng,Drive,Track Width,R Tire,Aero or kit Options,Engine Conversions (hp),PI RWD,PI AWD,Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,Added,filter
1,Modern Sports Cars,2017,Abarth,124 Spider,Abarth 124 '17,2017 Abarth 124 Spider,,,,,,Rare,"43,500",C,577,6.0,5.9,5.6,7.6,5.4,186,184,2477,13.32,54,1368,T,Inline,4,F,RWD,Both,205,Forza,300,577,583,none,eng,Europe,Italy,,Yes,2,L,4,,SS,6.700,18.800,15.100,143.4,170.8,412.2,0.87,0.88,12.100,9/7/2018,Factory
2,Hot Hatch,2016,Abarth,695 Biposto,Abarth 695 '16,2016 Abarth 695 Biposto,,,,,,Rare,"48,000",B,607,5.7,6.3,5.9,7.5,6.4,186,183,2198,11.82,64,1368,T,Inline,4,F,FWD,Both,215,Forza,300,628,628,none,no,Europe,Italy,,,3,L,4,,,5.800,16.900,14.950,136.0,144.3,362.0,0.89,0.93,11.100,9/7/2018,Factory
3,Classic Rally,1980,Abarth,Fiat 131,Abarth 131,1980 Abarth Fiat 131,,,,,,Rare,"38,000",D,449,5.5,4.7,5.5,7.1,4.5,140,130,2161,15.44,54,1995,NA,Inline,4,F,RWD,Both,185,Rally,"321, 300",449,462,"T, CS",stock,Europe,Italy,,,2,L,4,,,8.200,24.000,15.300,129.1,195.6,486.0,0.77,0.76,15.800,9/7/2018,Factory
4,Cult Cars,1968,Abarth,595 esseesse,Abarth 595 '68,1968 Abarth 595 esseesse,,,,,,Common,"35,000",D,100,3.9,4.0,3.7,4.9,4.0,28,34,1257,44.89,42,594,NA,Inline,2,R,RWD,Both,125,Forza,"158, 196, 300",100,100,CS,stock,Europe,Italy,,,2,R,4,,"DvG, mm",28.250,na,21.383,74.2,201.0,na,0.69,0.68,na,9/7/2018,Factory
5,Modern Super Cars,2017,Acura,NSX,Acura NSX '17,2017 Acura NSX,,,,,,Rare,"170,000",S1,850,7.4,7.6,9.6,10.0,8.3,573,623,3803,6.64,42,3493,TT,V,6,M,AWD,Both,305,Forza,none,850,850,none,no,N. America,U.S.,NSX,,2,L,4,,,2.700,6.400,10.517,189.8,117.4,296.0,1.06,1.04,3.700,9/7/2018,Factory
6,Retro Hot Hatch,2002,Acura,RSX Type-S,Acura RSX,2002 Acura RSX Type-S,,,,,,Common,"25,000",C,588,6.3,5.8,5.6,6.7,5.4,200,142,2820,14.10,61,1998,NA,Inline,4,F,FWD,Both,205,Sport,300,609,609,"T, CS",stock,N. America,U.S.,Integra,,2,L,4,,"RPC, DD",6.716,18.000,15.200,147.7,158.4,396.1,0.85,0.86,11.284,9/7/2018,Factory
7,Retro Hot Hatch,2001,Acura,Integra Type-R,Acura Integra,2001 Acura Integra Type-R,,,,,,Common,"25,000",C,596,6.3,5.8,5.6,6.9,5.4,195,130,2639,13.53,62,1797,NA,Inline,4,F,FWD,Both,195,Forza,"212, 300",614,617,"T, PDS, CS",stock,N. America,U.S.,Integra,,2,L,4,,"RPC, DD",6.200,14.700,14.783,153.5,161.1,400.6,0.85,0.85,8.500,9/7/2018,Factory
8,Sports Utility Heroes,2018,Alfa Romeo,Stelvio Quadrifoglio,Alfa Romeo Stelvio,2018 Alfa Romeo Stelvio Quadrifoglio,DLC store,Free w/DLC,,FH4 Car Pass / AT,,Common,"80,000",A,752,7.2,5.9,9.0,10.0,6.3,506,442,4361,8.62,50,2891,TT,V,6,F,AWD,Both,285,Forza,"506, 602, 562v8, 660",,,none,eng,Europe,Italy,,,5,L,4,,,3.900,9.500,,180.2,222.9,437.2,0.88,0.88,5.600,10/23/2018,Factory
9,Super Saloons,2017,Alfa Romeo,Giulia Quadrifoglio,Alfa Giulia '17,2017 Alfa Romeo Giulia Quadrifoglio,,Loyalty Rewards,,,,Rare,"120,000",A,795,7.7,7.2,6.9,8.5,7.9,506,442,3822,7.55,50,2891,TT,V,6,F,RWD,Both,285,Forza,"506, 562v8",795,803,none,eng,Europe,Italy,,,4,L,4,,,3.800,8.715,12.283,196.6,152.7,342.6,1.02,1.08,4.915,9/7/2018,Factory
10,Super Saloons,2016,Alfa Romeo,Giulia Quadrifoglio Forza Edition,Alfa Giulia FE,2016 Alfa Romeo Giulia Quadrifoglio Forza Edition,Exclusive,"Wheelspin, S8, S17, S23","S4, S11.1",,Event Influence,FE,"370,000",S1,812,7.7,7.5,7.3,8.9,8.1,506,442,3822,7.55,50,2891,TT,V,6,F,RWD,Both,285,Forza,"506, 602, 660",812,815,none,eng,Europe,Italy,,,4,L,4,,,4.400,10.600,,161.3,143.8,353.6,0.96,1.03,6.200,9/28/2018,Upgraded
